id;var2;LIST2008;LIST2009;LIST2010;var1;LIST2011;var0;LIST2012;IMG;tipomattess;BARCODE;codice;DESCRIZIONE;codcli;DESCRIZIONE IN INGLESE;COLOUR ;FABRICGLASS;dimCm.;VolM3;pzximb;imballoCm;for2012usd;fob2012eur; 30cbm ; 68cbm ;qxc;;Trasp.;DAZI USD;list2011calc;compreso2011;pesoKg;pesoimgKg;FORNITORE;fob2008USD;fob2009USD;fob2009EUR;fob2010USD;fob2010EUR;inctrasp
132; ;;;1239,4;;1722,1;0,55;1712,7;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49113;DIVANO 3 POSTI OSLO COLOR BRONZO SCURO;S002TF3;S.S./PE Rattan Sofa - Triple Seat Overall size: 184x71x73cm Stainless Leg: 25x25xT1,0/ (1,0)mm Aluminium back and seat frame Back and seat: PE weaving with 5 cm cushions SUNBRELLA stainless steel 304 ;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);185x71x74;1,715;2;188x125x73;358;263,24;;79;76;;92,11;;1712,74;355,34;;;MEIGU;;;;;0;25,92
133;43,31;0;378,2;381,2;-29,67;542;-18,94;668,6;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49123;TAVOLINO OSLO CON VETRO COLOR BRONZO SCURO;T007TJ;S.S./PE Rattan coffee Table Overall Size: 120,5x60,5x43cm Aluminium framework inside weaving Stainless steel leg 25x25xT1,2/ (1,0)mm, 25x13xT1,2/(1,0)mm Top: PE rattan weaving, Covered by glass on top - TEMPERED stainless steel 304;Viro A003;Tempered clear glass;120,5x60,5x43;0,348;1;125x62x45;136;103;;195;196;;35,71;4,08;668,6;138,71;6,5;14,7;MEIGU;;87;58,78;;2,91;25,75
134; ;;;678,3;;904,1;-10,66;1012;;;;49133;POLTRONA ANGOLARE SX OSLO COLOR BRONZO SCURO;S012TR Attenzione SX;Stainless steel wicker corner sofa overall size: 74?74?74CM tube: 25?25?T1.0mm Seat and back: wicker with cushion 5cm in thickness stainless steel legs ;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);74X74X74;0,485;1;81x81x74;210;154,41;;140;126;;55,56;;1012,04;209,97;;;MEIGU;;;;;0;26,46
135; ;;;678,3;;904,1;-10,66;1012;;;;49137;POLTRONA ANGOLARE DX OSLO COLOR BRONZO SCURO;S012TR Attenzione DX;Stainless steel wicker corner sofa overall size: 74?74?74CM tube: 25?25?T1.0mm Seat and back: wicker with cushion 5cm in thickness stainless steel legs ;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);74X74X74;0,485;1;81x81x74;210;154,41;;140;126;;55,56;;1012,04;209,97;;;MEIGU;;;;;0;26,46
136; ;;;554,7;;727,5;-15,6;862;;;;49141;POLTRONA DIRITTA OSLO COLOR BRONZO SCURO;S012T;Stainless steel sofa overall size: 65?74?74CM tube: 25?25?T1.0mm Seat and back: wicker with cushion 5cm in thickness stainless steel legs;Viro A003;cushion with zipper - sunbrella fabric SUNBRELLA BEIGE (5498-0000);65X74X74;0,381;1;75X76X76;181;133,09;;178;153;;45,75;;862,01;178,84;;;MEIGU;;;;;0;25,58
137;18,31;0;291,7;291,7;-15,47;345,1;-15,23;407,1;;STRUTTURA ACCIAIO + TECNO RATTAN;;49203;POLTRONCINA OSLO COLOR BRONZO SCURO ;Y006TF;S.S./wicker arm chair overall size: 56,5x60x83cm stainless steel framework 22x22xT1.0mm seat and back PE wicker amr rest teak slat Stackable stainless steel 304;Viro A003;;56,5x60x83;0,445;4;76X61X96;94;69,12;;611;456;;15,35;;407,14;84,47;5,5;25,6;MEIGU;;74;50;;0;18,17
138; ;;;958,9;;1189,8;-11,47;1343,9;;;;49214;TAVOLO RETTANGOLARE OSLO COLOR BRONZO SCURO 200x90x75 h;T005T 200?100 1.2;Stainless steel wicker table overall size: 200x100x75cm SUS304 tube: 38x38xT1.2mm top: wicker with tempered glass K/D packing stainless steel 304 ;Viro A003;Tempered clear glass;200X100X75;0,297;1;204X14X104;320;242,35;;229;192;;36,46;9,6;1343,87;278,81;;;MEIGU;;;;;6,86;13,08
139;24,76;0;223,3;223,3;-19,85;278,6;-2,66;286,2;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49218;TAVOLINO OSLO COLOR BRONZO SCURO CON VETRO 45X45X45 H;T010TJ;S.S. PE wicker coffee Table Overall size: 45x50x45 cm stainless steel tube: 22x22x1,0 mm Top: pe Wicker with 5 mm tempered glass;Viro A003;Tempered clear glass;45x45x45;0,129;2;54x46x52;70;53,01;;1054;1100;;6,36;2,1;286,2;59,38;4,7;10,7;MEIGU;;51;34,46;;1,5;10,72
140;20,8;0;919,9;919,9;-17,22;1111,2;-10,65;1243,6;;STRUTTURA ALLUMINIO + TECNO RATTAN;;49223;LETTINO OSLO COLOR BRONZO SCURO;C001TMQ;S.S./PE Rattan Sun Bed Overall Size: 212x72x33cm 304 Stainless Steel Framework 50x25xT1.0mm, 40x20xT1.0mm, 22x22xT1.0mm Seat Frame: Aluminium tube inside wicker Seat and back PE weaving Adjustable backrest with gas lift system Two Wheels design with 2 teak slats on sides;Viro A003;;212x72x33;0,643;2;212X46X66;298;219,12;;212;180;;38,89;;1243,59;258,01;20,1;44,7;MEIGU;;243;164,19;;0;15,07
141; ;;;339,4;;401,4;-8,56;439;;;;49250;POLTRONCINA STOCCOLMA IMPILABILE ;Y006MF;Stainless steel teak arm chair 304 ss tube: 22x22xT1,0mm Seat and back: teak Arm: teak ;;;60x56x85;0,445;4;75X61X96;103;75,74;;611;456;;15,35;;439,04;91,09;;;MEIGU;;;;82,3;58,79;16,85
142; ;;;272,9;;318,7;534,86;50,2;;;;49254;SEDIA STOCCOLMA IMPILABILE ;Y003M;Stainless steel teak chair Overall size 47,5x57x91 tube 304:22x22xT1,0 mm seat and back: teak ;;;48x52x91;0,296;4;65X49X93;;0;;919;672;;10,42;;50,21;10,42;;;MEIGU;;;;69,55;49,68;100
143; ;;;818,9;;923,8;-5,98;982,6;;;;49268;TAVOLO RETTANGOLARE STOCCOLMA CM 150X90X75 H;T003MB 150x90;Stainless steel teak dining table tube: 50x25xT1,0mm Top: teak ;;;150x90x75;0,159;1;154X11X94;255;187,5;;428;428;;16,36;;982,58;203,86;;;MEIGU;;;;221;157,86;8,02
144; ;;;1065,8;;1247,5;-6,88;1339,7;;;;49272;TAVOLO RETTANGOLARE STOCCOLMA CM 200X100X75 H;T003MB 200x100;Stainless steel teak dining table tube: 50x25xT1,0mm Top: teak ;;;200x100x75;0,233;1;204X11X104;339;249,26;;292;244;;28,69;;1339,73;277,95;;;MEIGU;;;;281,5;201,07;10,32
145; ;;;1231,4;;1453,3;-17,16;1754,3;;;;49295;LETTINO STOCCOLMA MULTIPOSIZIONE ;C003MF;Stainless steel teak lounge 304 Stainless steel frame work: 38x38XT1,0mm Back and seat: teak With arm teak With gas lift system (with new position);;;204,5x80x56;1,388;2;217X77X52;325;238,97;;98;56;;125;;1754,34;363,97;;;MEIGU;;;;277,5;198,21;34,34
146; ;;;;;;-100;389;;;;49350;SEDIA ARDAL ;Y049BF;stainless steel /batyline arm chair overall size?56?54?85CM seat size?43?50?45.5CM aluminium?19?19?T1.2mm batyline - Armrest: plastic wood sunken in the tube;Batyline Taupe 74075015 ;;56X54X85;0,492;4;83*57*104;92;67,65;;553;536;;13,06;;389,01;80,71;;;MEIGU;;;;;;0
147; ;;;;;;-100;1076,2;;;;49300;POLTRONA ARDAL ;S016BF;batyline / stainless steel sofa (plastic wood sunken in the armrest) overall size?70?84?65CM seat size?54?60?30CM tube 304#?40?20?T1.2mm 40?20?T1.2mm batyline 8 cm cushion textilene;Batyline Taupe;Textilene Taupe;70x84x65;0,67;2;84x95x83;247;181,62;;203;168;;41,67;;1076,23;223,28;;;MEIGU;;;;;;0
148; ;;;;;;-100;1768,5;;;;49310;DIVANO 2 POSTI ARDAL ;S016BF2;stainless steel love seat overall size?135?84?65CM seat size?119?60?30CM tube 304#?40?20?T1.2mm 30?15?T1.2mm batyline Armrest: plastic wood sunken in the tube 8 cm cushion textilene ;Batyline Taupe;Textilene Taupe;135x84x65;0,94;2;137x80x81;431;316,91;;145;140;;50;;1768,51;366,91;;;MEIGU;;;;;;0
149; ;;;;;;-100;56,8;;;;49320;TAVOLINO RETTANGOLARE ARDAL CM. 120X60X45 H;T049GJ;stainless steel /glass tea table overall size?120?60?45CM tube 304#?40?10?T1.0mm 25?25?T1.0mm 10mm tempered glass TAUPE;;;120X60X45;0,073;1;124X12X49;;0;;932;594;;11,78;0;56,8;11,78;;;MEIGU;;;;;;0
150; ;;;;;;-100;1187,3;;;;49380;LETTINO ARDAL ;C021BF;ss / batyline lounge (plastic wood sunken in the armrest) overall size?204x64x50cm tube 304#?25?25?T1.5mm batyline?7407 5015 ;;;204x64x50;0,848;1;212X77X52;223;163,97;;80;85;;82,35;;1187,28;246,32;;;MEIGU;;;;;;0
151; ;;;;;;-100;11,4;;;;49370;TAVOLINO QUADRO ARDAL CM. 45X45X45 H;T049GJ;stainless steel tea table overall size?45?45?45CM tube 304#?20?10?T1.2mm with 8mm tempered glass TAUPE or WHITE???;;;45x45x45;0,019;1;49x49x8;;0;;3542;2952;;2,37;0;11,43;2,37;;;MEIGU;;;;;;0
152; ;;;;;;-100;114;;;;49360;TAVOLO RETTANGOLARE ARDAL CM. 160X90X75 H;T049G;stainless steel glass table overall size?160?90?75CM tube 304#?60?10?T1.5mm 38?38?T1.5mm 10mm tempered glass TAUPE or WHITE???;;;160X90X75;0,228;1;162X15X94;;0;;298;296;;23,65;0;113,99;23,65;;;MEIGU;;;;;;0
153; ;;;;;;-100;235,9;;;;49364;TAVOLO RETTANGOLARE ARDAL CM. 200X100X75 H;T049G;stainless steel glass table overall size?200?100?75CM tube 304#?60?10?T1.5mm 38?38?T1.5mm 10mm tempered glass TAUPE or WHITE???;;;200X100X75;0,396;1;204X108X18;;0;;172;143;;48,95;0;235,94;48,95;;;MEIGU;;;;;;0
154; ;;;237,6;;264,9;804,1;29,3;;;;49610;SEDIA CON BRACCIOLI HELSINKI IMPILABILE CM 57X61X95,5 H ;SF-C-124T;Stainless steel sling chair,size: 57x61x95.5cm #304 stainless steel tube frame with teak wood armrests black textilene fabric in weave 2X1 stainless steel tube size: 25x25mm hardware : stainless steel ;;2x1 Textilene color: black;57X61X95,5;1,25;22;;;0;;1197;1152;;6,08;;29,29;6,08;6,11;;GREENLINE;;;;64;45,71;100
155; ;;;390,9;;433,8;800;48,2;;;;49620;POLTRONA HELSINKI CM 60X73X108 H;SF-C-130T;Stainless steel sling position chair overall size:60x73x108cm #304 stainless steel tube frame black textilene fabric in 2x1 weaving stainless steel tube size: 30x20mm & 25x25mm hardware : stainless steel ;;2x1 Textilene color: black;60X73X108;0,1;1;102x15x64;;0;;680;700;;10;;48,2;10;7,76;;GREENLINE;;;;106;75,71;100
156; ;;;1371,4;;1504,9;1774,1;80,3;;;;49640;TAVOLO RETTANGOLARE ALLUNGABILE HELSINKI CM 150/210X90 X76 H;AF-T-029E;Stainless Steel extension table, size: 150/210x90x76cm #304 stainless steel tube frame 2.5CM teak wood slats table top tube size : 50x50mm hardware : stainless steel ;;;150/210x90x76;0,15;1;96X156X10;;0;;453;420;;16,67;;80,33;16,67;17;;GREENLINE;;;;395;282,14;100
157; ;;;924,9;;1055;325,23;248,1;;;;49680;LETTINO MULTIPOSIZIONE HELSINKI BRACCIOLI IN TEAK CM 192X74X83 CM;AF-L-016;sling lounge with size 192x74x83cm #304 stainless steel frame 38 x 25 x 1.5mm black textilene fabric in weave 2x1 with teak armrests alum tube size : 45x35x1.5mm 5-position back hardware : stainless steel ;;2x1 Textilene color: black;192X74X83;1;2;217x66x69;;0;;136;136;;51,47;;248,09;51,47;23,29;;GREENLINE;;;;218;155,71;100
158; ;;;569,8;;569,8;204,06;187,4;;;;49710;POLTRONCINA KEMI CM 64,5X70X91 H;WF-C-079;wicker chair with size 64.5x70x91cm alum. tube frame in powder coating resin wicker chair seat and back(round wicker) #304 stainless steel tube base hardware : stainless steel with seat and back cushion ;FB99WK00796S;with cushion with zipper for seat and back ECRU COLOR;64,5X70X91;0,7;2;87X74X108;;0;;194;180;;38,89;;187,44;38,89;15;;GREENLINE;;;;108;77,14;100
159; ;;;2293,3;;2516,2;1929,19;124;;;;49740;TAVOLO RETTANGOLARE KEMI CM 90X210X76 H;AF-T-047;Rectangular table size 90x210x76 h 304 stainless steel tube frame with black spray stone table top frame tube size: 25x38x2.0 mm legs tube size: 60x60x2.00 mm hardware : stainless steel ;;;210x90x76;0,29;1;96*216*14;;0;;234;272;;25,74;;124,04;25,74;40;;GREENLINE;;;;658;470;100
160; ;;;118,2;;138,4;432,31;26;;;;58010;SEDIA CON BRACCIOLI IRIS BRACCIOLI CON INSERTO IN TEAK CM 57x57x86,5 H ;SF-C-113T;sling chair with size 57x57x86.5cm white alum. tube frame in powder coating white textilene fabric in weave 2X1 with inlay teak armrests the same as item SF-C-133 arm tube size: 25 x 25x2.0mm legs tube size: 25x25x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;2x1 Textilene color: white;57X57X86,5;0,5;26;;;0;;;1300;;5,38;;25,95;5,38;2,88;;GREENLINE;;;;30,5;21,79;100
161; ;;;1055;;1180,2;1194,08;91,2;;;;58020;TAVOLO RETTANGOLARE ALLUNGABILE IRIS CM 150/210X210X76 H;AF-T-041;Extension table cm (150)210x90x76 H legs tube size: 50x50x2.0 mm alum frame color white teak wood slats table top hardware : stainless steel with two coating (white powder coating + transparent coating);Frame color: white with two coating (white powder coating + transparent coating);;150(210)x90x76;0,15;1;156x96x10;;0;;453;370;;18,92;;91,19;18,92;7,73;;GREENLINE;;;;299,5;213,93;100
162; ;;;1350,9;;1512,1;1244,09;112,5;;;;58030;TAVOLO RETTANGOLARE ALLUNGABILE IRIS CM 180/240X210X746H;AF-T-042;Extension table cm (180)240x100x76 H legs tube size: 60x60x2.0 mm alum frame color white (have same extension system of AF-T-041) teak wood slats table top hardware : stainless steel with two coating (white powder coating + transparent coating);Frame color: white with two coating (white powder coating + transparent coating);;180(240)x100x76;0,38;1;103*183*20;;0;;179;300;;23,33;;112,47;23,33;12,85;;GREENLINE;;;;385;275;100
163; ;;;1106,1;;1224,6;879,68;125;;;;58040;TAVOLO RETTANGOLARE IRIS CM 90X180X76 H;AF-T-019;rectangular table, W90 x L180 x H76cm white alum tube frame in powder coating 2CM teak wood slats table top tube size : 80x80x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;;90X180X76;0,22;1;97x187x13;;0;;309;270;;25,93;;124,96;25,93;9,65;;GREENLINE;;;;302;215,71;100
164; ;;;110,9;;129,5;859,26;13,5;;;;58060;TAVOLINO QUADRO IRIS PIANO IN VETRO CM 50X50X42 H;AF-T-018;side table,size: 50x50x42cm white alum tube frame in powder coating white printed tempered glass table top tube size: 35x35x1.2mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;White printed tempered glass table top ;50X50X42;0,027;1;54X54X9;;0;;2519;2500;;2,8;;13,5;2,8;4;;GREENLINE;;;;32,5;23,21;100
165; ;;;613;;726,6;132,59;312,4;;;;58080;LETTINO MULTIPOSIZIONE IRIS BRACCIOLI IN TEAK - CON RUOTE CM 192X74X83 H;AF-L-010;sling lounge with size 192x74x83cm alum. tube frame in white powder coating white textilene fabric in weave 2x1 with teak armrests,5-position back alum tube size : 45x35x1.5mm hardware : stainless steel with two coating (white powder coating + transparent coating) ;Frame color: white with two coating (white powder coating + transparent coating) ;2x1 Textilene color: white;192X74X83;1,092;2;194x76x74;;0;;125;108;;64,81;;312,41;64,81;;;GREENLINE;;;;113;80,71;100
166; ;;;224,8;;251,7;302,72;62,5;;;;58120;SEDIA CON BRACCIOLI FRESIA COLOR CUOIO ;WF-C-057A;Wicker Chair size 61x65x96cm double resin wicker chair seat and back back legs tube size 30x22x1.2 mm front legs tube size 40x20x1.2 mm arms tube size: 46x20x1.2 mm Alum frame color: anthracite;Frame color: anthracite - rattan color FB99WK00796S;;;2,17;18;;;0;;;540;;12,96;;62,48;12,96;;;GREENLINE;;;;50;35,71;100
167; ;;;224,8;;251,7;302,72;62,5;;;TELAIO BIANCO;;SEDIA CON BRACCIOLI FRESIA COLOR CUOIO ;WF-C-057A;Wicker Chair size 61x65x96cm double resin wicker chair seat and back back legs tube size 30x22x1.2 mm front legs tube size 40x20x1.2 mm arms tube size: 46x20x1.2 mm Alum frame color: WHITE;Frame color: WHITE- rattan color FB99WK00796S;;;2,17;18;;;0;;;540;;12,96;;62,48;12,96;;;GREENLINE;;;;50;35,71;100
168; ;;;309,3;;343,6;601,22;49;;;;58130;POLTRONA MULTIPOSIZIONE FRESIA COLOR CUOIO;WF-C-076;7 position wicker chair size 62x62x100 cm alum frame color: anthracite with cast aluminium joints frame tube size: 36x25x1.2 mm legs tube size: 46x20x1.2 mm arms tube size: 55x22x1.2 mm double resin wicker seat and back;Frame color: anthracite - rattan color FB99WK00796S;;;0,18;2;95,5*30,5*63,5;;0;;756;688;;10,17;;49,04;10,17;;;GREENLINE;;;;78;55,71;100
169; ;;;309,3;;343,6;601,22;49;;;TELAIO BIANCO;;POLTRONA MULTIPOSIZIONE FRESIA COLOR CUOIO;WF-C-076;7 position wicker chair size 62x62x100 cm alum frame color: WHITE with cast aluminium joints frame tube size: 36x25x1.2 mm legs tube size: 46x20x1.2 mm arms tube size: 55x22x1.2 mm double resin wicker seat and back;Frame color: WHITE - rattan color FB99WK00796S;;;0,18;2;95,5*30,5*63,5;;0;;756;688;;10,17;;49,04;10,17;;;GREENLINE;;;;78;55,71;100
170; ;;;1069,5;;108,1;0;108,1;;;;58150;TAVOLO RETTANGOLARE FRESIA CM 150X90X74 H;AF-T-043 ;rectangular table size cm 90x150x74 h alum tube frame in powder coating alum frame color: anthracite (MW230C) with spray table top leg tube size: 50x50x2.0 mm ;;Frame color: anthracite (MW230C);150x90x74;0,22;1;166*96*14;;0;;;312;;22,44;;108,14;22,44;;;GREENLINE;;;;285;203,57;100
171;-66,45;111,8;123,4;124,9;201,69;41,4;-69,45;135,5;;ALLUMINIO + TEAK + TXT ;;300;SEDIA NINFEA COLOR ARGENTO;YQTC003 teak chair;;ARGENTO/NERO;;70x57x99 ;;16;;28,95;21,29;;;640;;9,38;;135,53;30,66;4,3;101;YONGQING;;;19,3;27,5;19,64;30,58
172;6,56;111,8;123,4;124,9;-5,02;131,5;-2,95;135,5;;ALLUMINIO + TEAK + TXT ;;47632;SEDIA NINFEA COLOR ANTRACITE;YQTC003 teak chair;;ANTRACITE/VIENNA;;70x57x99 ;;16;;28,95;21,29;;;640;;9,38;;135,53;30,66;4,3;101;YONGQING; ;;19,3;27,5;19,64;30,58
173;20,86;161,4;169,7;190;-7,36;205,1;-3,35;212,2;;ALLUMINIO + TEAK + TXT ;;31100;POLTRONA NINFEA COLOR ARGENTO MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;Black 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,76;;;602;;9,97;;212,16;41,73;5,6;7,2;YONGQING;;;28;39,5;28,21;23,88
174;20,86;161,4;169,7;190;-7,36;205,1;-3,35;212,2;;ALLUMINIO + TEAK + TXT ;;47638;POLTRONA NINFEA COLOR ANTRACITE MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,76;;;602;;9,97;;212,2;41,73;5,6;7,2;YONGQING;;;28;39,5;28,21;23,88
175;20,86;161,4;169,7;190;-7,36;205,1;-3,35;212,2;;ALLUMINIO + TEAK + TXT ;;47639;POLTRONA NINFEA COLOR BIANCO MULTIPOSIZIONE;YQTC0311 teak fold chair;FOLDING CHAIR;AKZO-Nobel outdoor coating,white (JA065Z) with two coating, the second coating is transparent polyesther painting.;White - 8 X 8 fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;43,2;31,76;;;602;;9,97;;212,2;41,73;5,6;7,2;YONGQING;;;28;39,5;28,21;23,88
176;21,27;161,4;169,7;190,8;-7,29;205,8;-3,29;212,8;;ALLUMINIO + TEAK + TXT ;;31100;POLTRONA NINFEA COLOR ARGENTO/NERO MULTIPOSIZIONE;YQTC0311B New teak fold chair;;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;Black 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;44,2;32,5;;;602;;9,97;;212,76;42,47;5,6;7,2;YONGQING;;;28,5;40,5;28,93;23,47
177;21,27;161,4;169,7;190,8;-7,29;205,8;-3,29;212,8;Facciamo prezzo sulla B (modello nuovo). Da valutare quale modello riordinare.;ALLUMINIO + TEAK + TXT ;;47638;POLTRONA NINFEA COLOR ANTRACITE MULTIPOSIZIONE;YQTC0311B New teak fold chair;;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;44,2;32,5;;;602;;9,97;;212,76;42,47;5,6;7,2;YONGQING;;;28,5;40,5;28,93;23,47
178;21,27;161,4;169,7;190,8;-7,29;205,8;-3,29;212,8;;ALLUMINIO + TEAK + TXT ;;47639;POLTRONA NINFEA COLOR BIANCO MULTIPOSIZIONE;YQTC0311B New teak fold chair;;AKZO-Nobel outdoor coating,white (JA065Z) with two coating, the second coating is transparent polyesther painting.;White - 8 X 8 fabric Stainless steel screws;61x108x66 ;0,097;1;62x16x98 cm;44,2;32,5;;;602;;9,97;;212,76;42,47;5,6;7,2;YONGQING;;;28,5;40,5;28,93;23,47
179;-68,29;56,7;59,6;69,1;265,61;18,9;-74,22;73,3;;ALLUMINIO VERNICIATO ARGENTO ;;47600;SGABELLO NINFEA COLOR ARGENTO 47X40XH42;YQFS001;FOOTREST;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;Black - 8 X 8 fabric;47x40x42 ;0,04;1;78x12x49;14,2;10,44;;;1650;;3,64;;73,27;14,08;1,9;2,5;YONGQING; ;;9,8;13,9;9,93;25,83
180;19,13;56,7;59,6;69,1;-2,68;71;-3,14;73,3;;ALLUMINIO VERNICIATO ANTRACITE ;;47640;SGABELLO NINFEA COLOR ANTRACITE 47X40XH42;YQFS001;FOOTREST;AKZO-Nobel international outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;47x40x42 ;0,04;1;78x12x49;14,2;10,44;;;1650;;3,64;;73,27;14,08;1,9;2,5;YONGQING; ;;9,8;13,9;9,93;25,83
181;18,99;275;316,4;356,9;-5,21;376,5;-2,69;386,9;;ALLUMINIO + TEAK + TXT ;;61600;LETTINO NINFEA COLOR ARGENTO MULTIPOSIZIONE ;YQTC0616CL;SUNLOUNGER;AKZO-Nobel international outdoor coating,silver (EW035Z) with two coating, the second coating is transparent polyesther painting.;Black - 8 X 8 fabric Stainless steel screws;175x73x115 ;3,168;10;180x80x220;73,7;54,19;;;180;;33,33;;386,86;87,52;11;118;YONGQING;;;40,8;70;50;38,08
182;18,99;275;316,4;356,9;-5,21;376,5;-2,69;386,9;;ALLUMINIO + TEAK + TXT ;;47668;LETTINO NINFEA COLOR ANTRACITE MULTIPOSIZIONE ;YQTC0616CL;SUNLOUNGER;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;T4 8*8 Fabric Stainless steel screws;175x73x115 ;3,168;10;180x80x220;73,7;54,19;;;180;;33,33;;386,86;87,52;11;118;YONGQING;;;40,8;70;50;38,08
183;18,99;275;316,4;356,9;-5,21;376,5;-2,69;386,9;;ALLUMINIO + TEAK + TXT ;;47669;LETTINO NINFEA COLOR BIANCO MULTIPOSIZIONE ;YQTC0616CL;SUNLOUNGER;AKZO-Nobel outdoor coating,white (JA065Z) with two coating, the second coating is transparent polyesther painting.;White - 8 X 8 Fabric Stainless steel screws;175x73x115 ;3,168;10;180x80x220;73,7;54,19;;;180;;33,33;;386,86;87,52;11;118;YONGQING;;;40,8;70;50;38,08
184;10,25;335,8;353,1;371,7;-4,52;389,3;-3,52;403,5;;ALLUMINIO + TEAK;;47774;CARRELLINO NINFEA COLOR ANTRACITE;YQD0609-Drink trolley;DRINK TROLLEY;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;TEAK HIGH QUALITY STAINLESS STEEL SCREWS;71x56,5x84,5;0,11;1;100x20x52,5;87,9;64,63;;;420;;14,29;;403,51;78,92;8;9;YONGQING;;;59;83,5;59,64;18,1
185;10,25;335,8;353,1;371,7;-4,52;389,3;-3,52;403,5;;ALLUMINIO + TEAK;;47770;CARRELLINO NINFEA COLOR ARGENTO;YQD0609-Drink trolley;DRINK TROLLEY;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;TEAK HIGH QUALITY STAINLESS STEEL SCREWS;71x56,5x84,5 ;0,11;1;100x20x52,5;87,9;64,63;;;420;;14,29;;403,51;78,92;8;9;YONGQING;;;59;83,5;59,64;18,1
186;17,5;121,5;129,7;146,1;-4,13;152,4;-4,03;158,8;;ALLUMINIO + TEAK;;47716;TAVOLINO QUADRO NINFEA COLOR ARGENTO 53X53X45,5;YQT039-AW;TEAK TEA TABLE;AKZO-Nobel outdoor coating,Silver(EW035Z) with two coating, the second coating is transparent polyesther painting.;TEAK HIGH QUALITY STAINLESS STEEL SCREWS;53x53x45,5 ;0,024;1;55x55x8;35,3;25,96;;;2600;;2,31;;158,84;28,26;5;6;YONGQING;;;23,6;33,5;23,93;8,16
187;17,5;121,5;129,7;146,1;-4,13;152,4;-4,03;158,8;;ALLUMINIO + TEAK;;47720;TAVOLINO QUADRO NINFEA COLOR ANTRACITE 53X53X45,5;YQT039-AW;TEAK TEA TABLE;AKZO-Nobel outdoor coating,anthracite (HJ800I) with two coating, the second coating is transparent polyesther painting.;TEAK HIGH QUALITY STAINLESS STEEL SCREWS;53x53x45,5 ;0,024;1;55x55x8;35,3;25,96;;;2600;;2,31;;158,84;28,26;5;6;YONGQING; ;;23,6;33,5;23,93;8,16
188;17,5;121,5;129,7;146,1;-4,13;152,4;-4,03;158,8;;ALLUMINIO + TEAK;;47721;TAVOLINO QUADRO NINFEA COLOR BIANCO 53X53X45,5;YQT039-AW;TEAK TEA TABLE;AKZO-Nobel outdoor coating,white (JA065Z) with two coating, the second coating is transparent polyesther painting.;TEAK HIGH QUALITY STAINLESS STEEL SCREWS;53x53x45,5 ;0,024;1;55x55x8;35,3;25,96;;;2600;;2,31;;158,84;28,26;5;6;YONGQING;;;23,6;33,5;23,93;8,16
189;25,4;464,5;464,5;548,1;-5,91;582,5;-3,83;605,7;;ALLUMINIO + TEAK ;;2600;TAVOLO RETTANGOLARE NINFEA COLOR ARGENTO 152X96XH72;YQT026B-AW teak table;;ARGENTO;;152x96x72 ;0,11;1;153x97x7,5 cm;145,8;107,21;;;446;;13,45;;605,71;120,66;17;19;YONGQING;;;91;135,9;97,07;11,15
